#node1	node2
mt-Nd2	Ndufc1
Ndufa12	Ndufa10
mt-Nd2	Ndufb7
mt-Nd6	Ndufa1
Ndufb7	Ndufb4
mt-Nd5	Ndufb8
Mrps2	Mrps23
Ptcd3	Mrps18b
Ndufb10	Ndufa10
mt-Nd2	Ndufs8
Ndufa7	Ndufa1
Ndufb11	Ndufc2
mt-Nd2	Ndufa1
mt-Nd3	Ndufs4
Ndufa1	Ndufs2
Ndufb4	Ndufa1
mt-Nd5	Ndufa10
Ndufb11	Ndufs1
mt-Nd6	Ndufb3
Ndufc1	Ndufb8
Ndufs7	mt-Nd2
mt-Nd2	Ndufa11
Mrpl20	Mrpl4
Ndufv1	Ndufb7
mt-Nd6	Ndufs4
mt-Nd2	Ndufb3
Ndufa13	Ndufc1
Ndufa13	Ndufb9
Ndufa10	Ndufa5
mt-Nd4	Ndufb10
Ndufa3	Ndufb7
Ndufa12	Ndufb11
mt-Nd1	Ndufb10
mt-Nd6	Ndufb7
mt-Nd4	Ndufb3
Mrpl13	Mrpl47
Dap3	Mrps18b
mt-Nd1	Ndufb3
mt-Nd1	Ndufc1
Ndufa12	mt-Nd2
Bcl2	Bcl2l11
mt-Nd4	Ndufa1
mt-Nd6	Ndufb10
Ndufb3	Ndufb9
Ndufa1	Ndufa2
Ndufb2	Ndufa13
Ndufb2	mt-Nd5
Sdhc	Sdha
Ndufv1	Ndufc1
Ndufa10	Ndufb3
Ndufb3	Ndufs1
Ndufb10	Ndufb4
mt-Nd4	Ndufa11
Ndufc1	Ndufc2
Ndufv2	Ndufa1
Ndufs7	mt-Nd5
mt-Nd4	Ndufc1
Ndufa10	Ndufa11
Ndufb11	Ndufb9
Ndufv1	Ndufb3
mt-Nd4	Ndufb7
Ndufb11	mt-Nd4
mt-Nd2	Ndufb10
mt-Nd3	Ndufb7
Dap3	Mrps2
Ndufb11	mt-Nd6
mt-Nd3	Ndufc1
Ndufa13	Ndufa8
Ndufb8	Ndufa5
Ndufb9	Ndufa1
Ndufc2	Ndufa1
Ndufb11	mt-Nd2
Ndufc1	Ndufa10
Mrps2	Mrps18b
Atp5g2	Atp5g3
mt-Nd1	Ndufs6
Ndufb11	Ndufv1
Ndufb7	Ndufc2
mt-Nd1	Ndufb7
Ndufb3	Ndufa1
Ndufa10	Ndufs4
Ndufb11	mt-Nd3
mt-Nd5	Ndufs8
Mrpl13	Mrps15
Ndufb11	Ndufb10
Ptcd3	Mrps2
mt-Nd2	Ndufa5
mt-Nd2	Ndufs6
Ndufb9	Ndufa11
mt-Nd5	Ndufa5
Ndufs8	Ndufb7
Ndufa7	Ndufa11
mt-Nd4	Ndufa5
Ndufc1	Ndufb7
Dap3	Ptcd3
mt-Nd1	Ndufa5
Ndufa13	Ndufa10
mt-Nd5	Ndufb10
Ndufc1	Ndufa11
Ndufb3	Ndufa11
Ndufv1	Ndufa5
Ndufs8	Ndufa11
Ndufb10	Ndufa11
mt-Nd5	Ndufb7
Ndufa12	mt-Nd3
Ndufa13	Ndufa1
Dap3	Mrps23
Ndufs7	Ndufa1
Ndufv1	Ndufa11
Ndufa12	mt-Nd6
mt-Nd5	Ndufa1
mt-Nd5	Ndufc1
Ndufs8	Ndufb9
mt-Nd6	Ndufa5
Ndufa13	mt-Nd3
Ndufb7	Ndufa5
Ndufb11	Ndufa9
mt-Nd5	Ndufb3
Ndufb11	mt-Nd5
mt-Nd3	Ndufa5
Ndufa13	Ndufb4
Ndufa12	Ndufa11
Ndufa13	mt-Nd1
Ndufa13	mt-Nd6
Ndufa12	mt-Nd4
Ndufs8	Ndufa5
Ndufs8	Ndufb4
mt-Nd5	Ndufa11
Ndufa12	Ndufc2
Ndufs8	Ndufa1
Cox7c	mt-Co2
Ndufa9	Ndufc1
Ndufb10	Ndufb8
Ndufa1	Ndufs3
Atp5c1	Atp5a1
Becn1	Bcl2l1
Ptcd3	Mrps23
Ndufa9	Ndufa11
Ndufb11	Ndufb7
Ndufb8	Ndufa11
mt-Nd3	Ndufs6
Ndufa13	Ndufa11
Mrps31	Mrps23
Ndufa10	Ndufs6
Ndufa9	Ndufa1
Bcl2	Bid
Sdhc	Sdhb
mt-Co2	Cox5a
Atp5f1	Atp5b
mt-Nd6	Ndufs6
Ndufb2	Ndufa1
Ndufa10	Ndufa1
Atp5f1	Atp5d
mt-Co2	Cox6c
Atp5f1	Atp5a1
Ndufa13	Ndufb7
Ndufb11	Ndufa10
Ndufa13	mt-Nd2
Ndufb11	Ndufb8
Ndufb11	Ndufa11
Ndufb2	Ndufb7
Ndufa13	Ndufb8
Ndufb7	Ndufb8
Atp5f1	Atp5j
Atp5g1	Atp5a1
Ndufa1	Ndufa11
Ndufs7	Ndufb8
Ndufb11	Ndufa1
mt-Nd6	Ndufa11
Sdha	Sdhb
mt-Cytb	Uqcrfs1
Ndufa4	Ndufa2
mt-Nd1	Ndufa11
Atp5f1	Atp5k
Ndufs7	Ndufa10
Ndufa3	Ndufa11
Uqcrq	Uqcrc2
Ndufa4	Ndufa6
Gsk3b	Akt1
Atp5g1	Atp5b
Atp5j2	Atp5f1
Mrps14	Mrps25
Ecsit	Ndufaf1
mt-Nd3	Ndufa11
Casp8	Bid
Atp5a1	Atp5b
Ndufv3	Ndufs6
Ndufs8	Ndufa10
Ndufv2	Ndufv3
Atp5f1	Atp5c1
Ndufb11	Ndufc1
Idh3a	Idh3g
Ndufb11	Ndufa13
Ndufb7	Ndufa1
Dap3	Mrps22
Ndufs8	Ndufc2
Ndufb11	Ndufs6
Ndufb11	Ndufs8
Mrps22	Mrps18b
Ndufa13	mt-Nd5
Uqcrfs1	Uqcr11
Dap3	Mrps31
mt-Nd6	Ndufs8
Ndufb7	Ndufb3
Mrpl19	Mrpl11
Mrpl15	Mrpl4
Ndufv3	Ndufs3
Mrps33	Mrps5
mt-Cytb	Uqcrq
Mrps22	Mrps23
Mrps9	Mrps18b
Hadha	Hadhb
Ndufb7	Ndufa11
Mrpl24	Mrpl19
Ndufs7	mt-Nd6
Ndufb2	Ndufa11
Mrpl38	Mrpl28
Ict1	Mrpl19
Ptcd3	Mrps9
Ndufb11	Ndufs7
Bcl2	Bad
Mrps9	Mrps2
Mrps10	Dap3
Mrpl43	Mrpl20
Mrpl24	Mrpl2
Dap3	Mrps9
Mrpl17	Mrpl2
Mrpl9	Mrpl28
Mrps24	Mrps5
Mrpl48	Mrpl46
Mrps26	Mrps18b
Mrps22	Mrps11
Mrpl16	Mrps7
Mrpl9	Mrpl2
Mrps10	Mrps31
Mrpl13	Mrpl38
Mrpl43	Mrpl44
Uqcrq	Uqcrfs1
Mrpl47	Mrpl19
Mrpl13	Mrpl16
Mrpl24	Mrpl47
Mrpl47	Mrpl2
Mrps11	Mrps5
